site,stars,lat,long,zip,ratings
Fresco By Scotto,3.5,40.75887459,-73.97443558,10022,47
Fresh Hot Pizza,3.5,40.8195,-73.9883957,7010,47
Metro Star Café,3.5,40.69248,-73.9871,11201,47
Pizza & Pita,3.5,40.7439194,-73.9742126,10016,47
Trattoria Zero Otto Nove,4,40.74085,-73.99166,10010,47
B X Pizza Bar,2.5,40.8295,-73.90821,10456,48
Casalinga Brick Oven Pizza,4,40.64852,-73.9787,11218,48
Donatello's Brick Oven Pizza,3.5,40.7558279,-73.9213419,11101,48
Mario's Pizzeria,3.5,40.6835387,-73.9900445,11217,48
Merilu Pizza Al Metro,4,40.76522,-73.98791,10019,48
Rosella's Pizzeria,3.5,40.71018,-74.00573,10038,48
Vinnie's Pizzeria,4,40.7762,-73.95331,10028,48
Cranberry,3,40.74883812,-73.93972132,11101,49
Domino's Pizza,2,40.66555,-73.95105,11225,49
Patrizia's,4,40.710939,-73.967504,11249,49
99 Cent Fresh Pizza,4,40.7644882,-73.98246,10019,50
Anna Maria Pizza,4,40.71796,-73.95746,11211,50
Century One Pizzeria,2,40.72451,-74.07003,7306,50
Cestra's Pizza II,3.5,40.8237572,-73.9086838,10451,50
Domino's Pizza,1.5,40.68022,-73.94211,11216,50
Italian Affair Pizzeria,3,40.7519844,-73.9150494,11101,50
Mike's Pizza,3,40.7385363,-73.98066452,10010,50
Napolis Pizzeria,1,40.8218498,-73.9392548,10039,50
Romano's Famous Pizza & Gyro,3,40.76132007,-73.92380227,11106,50
Tavola,4,40.755403,-73.994516,10018,50
Blake & Todd,3,40.75943429,-73.97378374,10022,51
Blue Eyes Restaurant,3.5,40.74159043,-74.02616293,7030,51
Chuck E. Cheese's,2.5,40.8082695,-74.0180511,7047,51
Fat Cat Pizza,4.5,40.7589015,-73.9260105,11106,51
KF Hester Street Pizza,2,40.71613598,-73.99171259,10002,51
PS Italian Bistro,3.5,40.7613,-73.9246,11103,51
Tasty Munchies Pizza,3,40.7185211,-73.9829178,10002,51
509 Pizzeria,5,40.8244187,-73.9093045,10451,52
Daniela Trattoria,3.5,40.75924,-73.988,10036,52
Domino's Pizza,2.5,40.7550697,-73.9654617,10022,52
Pizzcafe Express,1.5,40.77377,-73.9596,10021,52
Via Trenta Osteria & Wine Bar,4,40.764886,-73.916529,11103,52
Chai Pizza Sushi Cafe,3,40.697733,-73.959553,11205,53
Little Caesars,3,40.83576204,-73.92189503,10452,53
Mama Mia Chicken & Pizza,3,40.7956,-73.93593,10029,53
Sauce and Barrel,5,40.707999,-74.0142651,10006,53
Vezzo Thin Crust Pizza,4,40.74447,-73.9813099,10016,53
2 Bros Pizza,3.5,40.8050003,-73.9381638,10035,54
Di Mamma Pizza,1,40.6991692,-73.9130478,11237,54
Papa John's Pizza,1,40.68531,-74.10308,7002,54
Papa John's Pizza,1.5,40.7463329,-74.0489383,7306,54
Pizza 33 - 2nd Ave,4,40.72887,-73.98792,10009,54
Rocky's Brick Oven Pizza,3,40.73994,-74.00334,10014,54
Sac's Place,4,40.76289822,-73.92708555,11106,54
Smiling Pizza,3.5,40.6670645,-73.9813641,11215,54
A Slice of New York,2,40.7596207,-73.9882889,10036,55
Antika Pizzeria,4,40.7646599,-73.9172211,11106,55
Father & Son Pizzeria,4,40.79498,-74.0113499,7093,55
Serafina,3,40.77623508,-73.96234235,10075,55
Wrap & Roll Grill,3,40.7777902,-73.9519867,10028,55
El Nido's Pan Pizza,1,40.7637799,-73.98607,10019,56
King's Pizza of Harlem,4,40.8205004,-73.9367536,10039,56
Leo's Grandevous,3.5,40.73984,-74.036244,7030,56
99 Cents Fresh Pizza,3.5,40.73336672,-73.99963436,10014,57
Bari Pizzeria,4,40.7690399,-74.0318099,7087,57
Exclusive Pizza,3.5,40.8509482,-73.9389477,10033,57
Galaxia International,1,40.7190819,-74.0784683,7304,57
Lupita Pizzeria,5,40.8258209,-73.9387817,10039,57
Neapolitan Express,4,40.77978,-73.98195,10023,57
Cantina's Restaurant,2.5,40.759578,-73.920246,11103,58
Carmine's Pizza Factory,3,40.7275581,-74.0500107,7302,58
Fumo,4,40.82146541,-73.95061696,10031,58
Giovanni's Pizza,2.5,40.8352203,-73.9201584,10452,58
Mike Daddy's Pizza,3.5,40.6629189,-73.9847414,11215,58
Roma Pizza,2,40.71862862,-73.98830116,10002,58
Acqua At Peck Slip,3.5,40.7082567,-74.001797,10038,59
Cheesy Pizza,3,40.79716,-73.96948,10025,59
Stella 34 Trattoria,4,40.75038155,-73.98803253,10001,59
Bosa's Pizza of Harlem,5,40.80267,-73.93411,10035,60
Crown Fried Chicken & Pizza,1.5,40.6959,-73.942543,11206,60
Domino's Pizza,2.5,40.7372017,-74.0384369,7030,60
Ginos Pizzeria,3.5,40.6809807,-73.9755096,11217,60
Giovanni's Pizzeria & Restaurant,3.5,40.7435951,-74.0288391,7030,60
Mama's Pizza,3,40.71823,-73.98582,10002,60
Rocky's Bar & Restaurant,2.5,40.75436755,-73.99888595,10001,60
Serafina Meatpacking,3,40.73938034,-74.00651336,10014,60
Wanted,3,40.7095299,-74.0067902,10038,60
Da Mikele,4,40.718477,-74.004802,10013,61
Larry & Joe's Pizzeria,4,40.7308884,-74.0562668,7306,61
Serafina Harlem,3,40.810644,-73.9582755,10027,61
sLICe,3.5,40.74367,-73.95345,11101,61
Tex Mex Pizza Grill,3.5,40.7113304,-73.944603,11211,61
Tom's Delicious Pizza,2,40.765288,-74.03907653,7087,61
99 Cent Best & Fresh Pizza,3.5,40.7463303,-73.9934616,10001,62
Andre's Pizza,4,40.753342,-73.937162,11101,62
Fascati Pizza,3.5,40.69848,-73.99266,11201,62
Garden Pizza,2,40.7765388,-73.9499817,10028,62
Bronx Lala Inc Pizza,5,40.8276433,-73.92448587,10451,63
Coppola's West,3.5,40.783115,-73.9789374,10024,63
La Mia Cucina,3.5,40.79093,-74.05946,7094,63
Little Italy Pizza,3.5,40.78132134,-73.95446777,10028,63
Mamma Mia Pizza,2.5,40.78015,-73.946578,10128,63
One Twenty-Two,3.5,40.72707,-73.985288,10009,63
Saba's Pizza,3.5,40.77711,-73.95716,10028,63
Salerno Pizza,2,40.7278499,-74.06294,7306,63
Crown Fried Chicken & Pizza,2.5,40.721859,-74.0463409,7302,64
La Mia Pizza,3,40.774822,-73.953295,10075,64
Madison's Pizzeria,3,40.7039914,-73.9038706,11385,64
Napoli Pizzeria,3.5,40.662358,-73.908367,11212,64
Pizza 33,3,40.7448502,-73.9977798,10011,64
Brick Oven Pizza,2.5,40.655609,-73.942736,11203,65
Gnocco,3.5,40.72714,-73.9802799,10009,65
Napoli's Brick Oven Pizza,3.5,40.75072,-74.02717,7030,65
Obama Chicken & Pizza,2,40.8027191,-73.9523163,10026,65
Papa John's Pizza,2,40.6570854,-73.95298,11225,65
Ray's Pizza Restaurant,1,40.80704,-73.91756,10454,65
C & G House Of Pizza,4.5,40.8210411,-73.9127731,10451,66
Cafe 71,3,40.7782,-73.98235,10023,66
Harry's Italian,3.5,40.70755532,-74.00689817,10038,66
Pizzevia,4,40.70665423,-74.00265124,10302,66
Retro Pizza Cafe,4,40.75844032,-73.91793134,11103,66
Susano's Pizzeria & Restaurant,3.5,40.7032236,-73.9081187,11385,66
Victorias Pizza and Deli,2.5,40.67217,-73.98748,11215,66
B Side Pizza & Wine Bar,4.5,40.7637749,-73.9880524,10019,67
Cafe Roma,3.5,40.79779,-73.96787,10025,67
Grimaldi's,3.5,40.70256946,-73.99324761,11201,67
The Bistro,3.5,40.72734,-74.034336,7310,67
Mom's Pizzeria II,3,40.72058,-73.97855,10009,68
Peppino's Brick Oven Pizza & Restaurant,4.5,40.668221,-73.986936,11215,68
Pizza Ghor,2.5,40.8287582,-73.9490356,10031,68
Abitino Pizzeria & Restaurant,3.5,40.7553787,-73.9653015,10022,69
Don Giovanni Ristorante,3.5,40.75955,-73.9915,10036,69
Fiore's Pizza,4,40.72875,-74.0001,10012,69
Naples 45,3.5,40.75369915,-73.97625268,10166,69
Ribalta Pizza,4,40.7334346,-73.9916923,10003,69
Stromboli Pizza,3.5,40.72778,-73.9854299,10003,69
Wheated,4.5,40.6465969,-73.97049503,11218,69
F & F 99 Center Slice Pizza,3.5,40.72567576,-73.9779284,10009,70
Hanky's Pizzeria,4.5,40.84088,-73.98744,7650,70
Jiannetto's,4,40.75527,-73.9752199,10017,70
Lenin's Restaurant and Pizzeria,3.5,40.74162,-74.04563,7307,70
Villa Pizza,1.5,40.7562523,-73.9906845,10018,70
Pronto Pizzeria,4,40.76346,-73.90886,11103,71
Sabatino Pizzeria and Restaurant,2.5,40.7340088,-74.0424118,7310,71
Venice Restaurant & Pizzeria,3.5,40.8127372,-73.9074515,10455,71
Villa Pizza,2,40.7570235,-73.9889635,10036,71
Brother's Pizzeria,4,40.76957804,-73.93111368,11102,72
Justino's Pizzeria,3.5,40.76945,-73.98854,10019,72
Max,3.5,40.71755,-74.01013,10013,72
Papa John's Pizza,2,40.6816216,-73.9570923,11238,72
Papa John's Pizza,4,40.8138504,-73.9179611,10455,72
Billy's Pizza Pasta,3,40.6671317,-73.9564988,11225,73
Champion Pizza,5,40.71713186,-73.98029287,10002,73
Kennedy Fried Chicken,2.5,40.7503988,-73.9406468,11101,73
Napoli Pizza & Pasta,3.5,40.7605318,-73.9383051,11106,73
Crown Pizza & Chicken,2.5,40.6779289,-73.9109497,11233,74
Gino's Pizzeria,4,40.69417,-73.96073,11205,74
Le Gourmet,3.5,40.76552,-73.95802,10065,74
Michael John's Pizzeria,5,40.6574249,-74.0039749,11232,74
Pizza & Pasta Restaurant,3,40.704258,-73.9428558,11206,74
Rocco Pizza,3,40.6921387,-73.9458923,11216,74
Saba's Pizza,4,40.78329,-73.978,10024,74
Uncle Jimmy's Pizzeria,3.5,40.7459776,-73.9154465,11104,74
99 Cent Fresh Pizza Villa Cafe,3.5,40.75814,-73.99234,10036,75
Fornino,4,40.71755097,-73.95769538,11211,75
Lazzara's Pizza,3.5,40.754057,-73.989497,10018,75
Propizza,3,40.8079185,-73.9234085,10454,75
Tutti Matti,4,40.74465,-73.95375,11101,75
Mama Tina's Pizza,2.5,40.8206324,-73.943717,10030,76
Saluggi's East,4,40.71601,-73.9875,10002,76
10 Devoe,4.5,40.7130585,-73.9509888,11211,77
Famous Famiglia Pizzeria,2.5,40.7580338,-73.9889908,10036,77
10th Avenue Pizza & Cafe,3,40.74322509,-74.00751627,10001,78
Barilla Restaurants,3,40.76084551,-73.9793731,10104,78
Bella Vita,3.5,40.7570467,-73.9869185,10036,78
Chuck E Cheese's,2.5,40.68452665,-73.97721637,11222,78
In N Out Pizza,3,40.7526817,-73.9853516,10018,78
Little Caesars Pizza,2.5,40.6803207,-73.9439316,11216,78
Roma Pizzeria,4,40.80816,-74.00796,7047,78
Tony's Pizzeria of Nassau Ave,4.5,40.72529089,-73.94622602,11222,78
Farinella Bakery Pizza,3.5,40.763764,-73.967358,10065,79
Golden Pizza,4.5,40.8075104,-73.9194794,10454,79
Sottocasa Pizzeria- Boerum Hill,4.5,40.68838,-73.98895,11201,79
Vinnie's Pizzeria & Restaurant,3,40.70529,-74.0991899,7305,79
Domino's Pizza,1.5,40.6568489,-73.9305573,11203,80
Donna Bella,3,40.747,-74.04798,7307,80
Farid's Middle Eastern Grill Food & Pizza,2,40.7241337,-73.988065,10009,80
Eddie's NY Deli & Pizza,3,40.798114,-73.9404242,10029,81
Little Italy,3.5,40.7540127,-73.9797772,10017,81
Cafe Fiorello,3.5,40.77134,-73.9819051,10023,82
Campanello's,3,40.7669411,-74.0691299,7094,82
Craig D's Deli & Pizza,4,40.84555,-74.04218,7643,82
Kingston Pizza Kosher,2.5,40.6654399,-73.94242,11225,82
Little Caesars,2.5,40.6873894,-73.9178238,11221,82
Pizza Beach,3.5,40.72133,-73.9887,10002,82
Pizza Hut,3,40.79838,-73.9406,10029,82
Pizza Hut Inside Target,2,40.71424,-74.00642,11373,82
Wonder Fried Chicken & Pizza,3,40.79904,-73.9522,10026,82
99 Cents Hot Pizza,4,40.6888099,-73.98329,11217,83
Armando's Tuscan Grill 2,3,40.8448497,-73.9804906,7024,83
High Line Garden,5,40.75082105,-74.00225937,10001,83
Hop House Harlem,4,40.80682,-73.9534,10026,83
Sam's Pizza,3.5,40.69061,-73.9571,11205,83
Acna Pizza Corporation,4,40.7866592,-73.9501877,10029,84
Chicago Pizza,5,40.83131111,-73.99285559,7657,84
Fat Sam's Pizza,3.5,40.6693611,-73.9064331,11212,84
Fontana Restaurant,3.5,40.682579,-74.1028519,7002,84
Garden Pizza Ice Cream & Cafe,3.5,40.84175,-74.10093,7072,84
Marta,4,40.7445882,-73.9847936,10016,84
Proto's Pizza,4,40.7253494,-73.9897385,10003,84
Singas Famous Pizza,3,40.71088,-73.95069,11211,84
Tommy's Grill & Pizzeria,2.5,40.83309,-73.94508,10032,84
Abruzzi Pizza,5,40.76028017,-73.99154311,10036,85
Artichoke Basille's Pizza,3.5,40.7299881,-74.0007477,10012,85
Flaco's Pizza,3,40.8368459,-73.9425077,10032,85
Kesté - Williamsburg,4.5,40.7192686,-73.9530651,11211,85
Trattoria Spaghetto,4,40.7300911,-74.0025482,10014,85
FlorenZia Pizzeria,2,40.848362,-74.0813522,7075,86
Joey Pepperoni's Pizza,3.5,40.7409782,-73.9790421,10016,86
Aumm Aumm Pizzeria & Wine Bar,4.5,40.79789,-74.00231,7047,87
Broadway Fried Chicken & Pizza,1,40.701889,-73.9434128,11206,87
Roman Nose,3.5,40.7200279,-74.0433197,7302,87
Jersey Pizza Co,4.5,40.84706432,-74.08248011,7075,88
Little Italy Pizza,4.5,40.79187519,-73.97355415,10025,88
My Daddy's Pizza,3,40.7508583,-73.9866562,10018,88
My Little Pizzeria,4,40.69023,-73.99227,11201,88
Pacific Pizza,3,40.7115593,-74.0627289,7304,88
Johnny Favorites Pizza,4,40.72328,-73.98278,10009,89
Little Italy Pizza,3,40.73478317,-73.99224091,10003,89
Mangia Bene,1,40.74704,-74.0479,7307,89
Rossetti's Pizza,2.5,40.7237776,-74.0045619,10013,89
Salvo's Pizzabar,4,40.77085114,-73.95092773,10075,89
Saraghina,4,40.6835063,-73.9352006,11233,89
Uptown Pizzeria,3,40.75332,-74.0253199,7030,89
Dona Bella Pizza,3,40.7151444,-74.0080027,10007,90
Gino's Cucina & Brick Oven Pizza,2.5,40.6753037,-73.9632719,11238,90
Pizza Plus,2,40.76265,-73.98996,10019,90
Cafe Daniello's,3,40.758768,-73.965332,10022,91
Milano's Pizzeria,1,40.7262115,-74.0765762,7306,91
Screamer's Pizzeria,4.5,40.72361,-73.95043,11222,91
V & T Pizzeria & Restaurant,3,40.80334,-73.96383,10025,91
99 Cent Famous Pizza,4,40.7310257,-73.98188782,10009,92
Gino's Pizza,3.5,40.7752495,-73.9513016,10028,92
Trattoria La Sorrentina,4.5,40.80174,-74.00698,7047,92
Casa Theodoro,4.5,40.7568664,-73.9070743,11377,93
Mama Carmela's,4,40.7602759,-73.9076087,11377,93
Mama Leona Pizzeria & Italian Restaurant,3,40.74347,-74.05129,7307,93
Villa Pizza,4,40.7414824,-74.0601527,7306,93
IPizzaNY,3,40.76265,-73.98996,10019,94
NY Pizza Suprema,4,40.75015,-73.99518,10001,94
Papou's Pizza,2.5,40.73978,-73.98579,10010,94
Cafe Rustico II,4,40.74976,-73.98536,10001,95
Sapranos Pizza,1,40.7305946,-74.0615005,7306,95
Farinella,3.5,40.7747688,-73.9592133,10075,96
New York City Pizza Palace,2,40.72881,-73.98775,10003,96
Tre Sorelle,3.5,40.7147255,-74.0063324,10007,96
Vinny Vincenz,3.5,40.73113,-73.98296,10003,96
Domino's Pizza,2,40.6654592,-73.9895984,11215,97
Emilia's Pizza & Authentic Mexican Food,4.5,40.7662621,-73.9150543,11103,97
Chuck E Cheese,3.5,40.7210423,-74.0929029,7304,99
Double Zero,4,40.7260673,-73.9897073,10003,99
Holesome Bagels,4,40.6678,-73.9421,11213,99
Hot House Pizza,4,40.7405434,-74.0400772,7030,99
Uno Pizzeria & Grill,2.5,40.7831047,-73.9748572,10024,99
Valentino's Pizza,2,40.82002,-74.00796,7022,99
Caesar's Palace Pizza,3.5,40.7861404,-73.9759293,10024,100
Uno Pizzeria & Grill,3,40.77830153,-73.95329152,10028,100
Papa Sal's Pizza,4,40.745328,-73.9033515,11377,102
Princess Pizza,3,40.6798286,-74.0836182,7302,102
Denino's Greenwich Village,4,40.7294,-74.00111,10012,103
225 Bistro,2.5,40.711776,-74.008627,10007,104
Mario's Hamburger & Pizza Place,3,40.834355,-73.9411191,10032,104
Market Cafe,3.5,40.75197811,-73.97524401,10017,104
Nick's Pizza,4,40.8030737,-74.0122515,7047,104
Nino's 46,4,40.7569159,-73.980516,10036,104
Famous Famiglia Pizzeria,3.5,40.7878304,-73.9539108,10029,105
Famous Famiglia Pizzeria,3,40.8047916,-73.9665391,10025,105
Harlem Brothers Pizza & Wings,2,40.82361821,-73.94427203,10039,105
Emmett's,4,40.727303,-74.00243,10012,106
Fiesta Deli,5,40.741909,-73.9191208,11377,107
La Piazza,4,40.742196,-73.989905,10010,107
Papa John's Pizzac,1,40.757061,-73.9297485,11106,107
Papa Johns,2,40.8293315,-73.9279075,10451,107
Famous Famiglia Pizzeria,3,40.7939999,-73.97064,10025,108
Tomato-N-Basil Pizza,3.5,40.67736,-73.98348,11215,108
Imperial Pizza,5,40.7440987,-73.9785919,10016,109
Imperial Pizza,1,40.75264509,-73.99985035,10001,109
Sbarro,2,40.750098,-73.9902133,10001,109
Barboncino,4.5,40.67206,-73.95717,11238,111
Little Luzzo's,3.5,40.786342,-73.951553,10128,111
Papa John's Pizza,1.5,40.7915916,-73.9390411,10029,111
Chuck E Cheese's,3,40.7533941,-73.9145504,11101,113
Gar's Pizzeria,1,40.81806,-73.9167,10455,114
Pizza Shack,3.5,40.7143,-73.98172,10002,114
Mario's Pizzeria,3,40.6893845,-73.9704971,11205,115
Bagels and,3.5,40.76921,-73.95162,10021,116
Little Caesars Pizza,3,40.7485799,-74.04717,7307,116
Amalfi Pizzeria,2,40.7443314,-74.0442657,7307,117
Lisbon Pizza,4,40.7166,-74.03899,7302,117
Pizza Club,4,40.81879906,-73.97690378,7020,117
Baci & Abbracci,4,40.7139,-73.96045,11211,118
Brickhouse Pizzeria,3.5,40.71157405,-73.96300607,11211,118
Birreria Roma,5,40.7313644,-74.0028304,10014,119
Prince Pizza,2,40.7593231,-73.9704895,10022,119
Eleven B,3.5,40.7274,-73.97966,10009,120
Singas Famous Pizza,2.5,40.7236199,-73.97893,10009,120
Pizza Express,4,40.6899414,-73.9233093,11221,121
Pizza Gallery,2,40.80984,-73.99035,7020,121
Pizza & Bagel on 3rd,3.5,40.66439,-73.99674,11232,122
Pizza & Pasta,2,40.8435783,-73.9124069,10452,122
Villa Mia Pizza,3.5,40.6694983,-73.992818,11215,122
Bread And Salt Bakery,4,40.6774542,-73.9571563,11238,123
Little Caesars,4,40.6496315,-74.0059662,11232,123
Pranzo,4,40.703269,-74.01080278,10004,124
Cacio E Vino,3.5,40.726384,-73.988873,10003,125
Empire Pizza,3,40.7470799,-73.98579,10001,125
La Belleza Pizza,3,40.71557533,-74.00527653,10007,125
Lean Crust,4,40.6867,-73.97504,11217,125
Salt & Pepper,3,40.7498789,-73.9900547,10001,125
Via Vai,4.5,40.7741411,-73.91247885,11105,125
Chubby Burgers Chicken and Pizza,2.5,40.7719231,-73.9257431,11102,126
Liberty Pizzeria,3.5,40.69334,-73.96604,11205,126
Prince of Pizza,3,40.72559022,-74.06807034,7306,126
Gaudio's Pizzeria & Restaurant,3,40.7637919,-73.9143362,11103,127
Basile Pizza,4,40.78016265,-73.94973736,10128,128
Bella Napoli,3.5,40.7451099,-73.99471,10001,128
Gotham Pizza,3.5,40.7775688,-73.9492188,10028,128
Grand Pizza,3,40.71177,-73.94134,11211,128
Lunetta Pizza,3.5,40.76245,-73.95969,10065,128
Rio Market,4,40.75609,-73.92828,11106,128
Uno Pizzeria & Grill,3,40.7558999,-73.92309,11101,128
Cafe Cosina,5,40.83898859,-73.91838335,10452,129
Frank's Trattoria,3.5,40.73612,-73.979473,10010,129
Grandma's Pizza,2.5,40.8515167,-73.9281998,10033,129
Henry's Pizza,3,40.6991692,-73.9130478,11237,129
Previti Pizza,4,40.75093803,-73.97678798,10168,129
Fluffy's Cafe & Pizzeria,3.5,40.76843633,-73.98513773,10019,130
Friends Pizza Cafe,2.5,40.66175,-73.98569,11215,131
Porta,3,40.7200699,-74.0437622,7302,131
Tigre Pizza,3.5,40.8445816,-73.9072342,10457,131
Front Street Pizza,3.5,40.70244,-73.98943,11201,132
Joe's Pizza of the Village,3,40.66763,-73.9873999,11215,132
Johnny's Pizzeria & Ristorante,3,40.8480606,-73.9844666,7650,132
99 Cent Fresh Pizza,3.5,40.74572877,-73.97768621,10016,133
Rocco Pizza,3,40.68273,-73.94065,11216,133
Singas Famous Pizza,4,40.7531754,-73.9205345,11101,133
Skillman's Famous Pizza and Coffee Shop,3.5,40.7462692,-73.9177399,11104,133
Little Caesars,2,40.6990013,-73.9108276,11237,135
Gandolfo Pizzeria & Restaurant,4,40.79953,-74.00864,7047,136
Four Brothers Restaurant & Pizzeria,4.5,40.7207489,-74.0817566,7304,137
Arome Deli & Pizzeria,3,40.749,-73.99028,10001,138
Artichoke Basille's Pizza,3.5,40.7751406,-73.9124042,11105,138
Bona Pizza,2,40.73928519,-74.03020198,7030,138
Bona Pizza,4.5,40.8178399,-73.90583,10455,138
Alba's Pizza & Restaurant,4,40.7739334,-73.9075721,11105,139
Jerusalem Cafe,2.5,40.75057,-73.98536,10018,139
Macchina,4,40.80101,-73.9675199,10025,139
Bella Serra Pizza,4,40.70015,-73.90415,11385,140
Bene Restaurant & Pizzeria,3,40.65489,-73.97351,11218,140
Bravo Pizza,3,40.7531769,-73.9805117,10017,140
Margherita's Pizzeria,3.5,40.7453232,-74.0286713,7030,140
Margot's Pizza,5,40.6835518,-73.9664001,11238,140
Mister Gusto,1.5,40.73024,-74.0655699,7306,140
Z Pizza,4,40.732804,-74.003778,11430,140
Grimaldi's,4,40.7415886,-74.0294342,7030,142
John & Tony's Trattoria Caffe,3,40.76043556,-73.96162256,10021,142
John's Of Bleecker Street,4,40.73158,-74.00332,10014,142
Scarr's Pizza,4,40.71534,-73.9914,10002,142
Graziella's,4,40.69046,-73.96963,11205,143
Papa John's Pizza,1.5,40.7804794,-73.9496155,10128,143
Armando's Pizza,3.5,40.6835403,-73.9111862,11207,144
Oxford Cafe,2.5,40.75751179,-73.97131006,10022,144
Two Boots,4,40.6742098,-73.9824143,11215,144
Bella Roma,3.5,40.75820334,-73.962482,10022,145
Zakaria's Pizza & Grill,3,40.7340698,-74.0718613,7306,145
Famous Original Ray's Pizza,2,40.76432,-73.9664899,10021,146
Koronet Pizza,3.5,40.80447,-73.96616,10025,146
Naples Ristorante E Pizzeria,2.5,40.7531245,-73.9778371,10166,148
Papa John's Pizza,2.5,40.82947,-73.98639,7010,148
Pizza Superstar,4,40.68192,-73.97633,11217,148
Rizzo's Fine Pizza,4,40.76335,-73.91516,11103,148
San Matteo Pizzeria e Cucina,4,40.7746799,-73.95443,10028,148
Luna's Pizzeria & Restaurant,5,40.76036352,-74.03716715,7087,149
Papa John's Pizza,2,40.75706,-73.92975,11106,149
Domino's Pizza,1.5,40.71969,-74.07908,7304,151
New York Sal's Pizza,3,40.76372528,-73.99211121,10019,151
Carmine's Pizzeria,4,40.71499,-73.94414,11211,152
Domino's Pizza,2.5,40.721837,-74.04719,7302,153
Domino's Pizza,1.5,40.8278351,-74.1011658,7070,153
Sbarro,2.5,40.733113,-73.997687,10001,153
Williamsburg Pizza,4,40.718221,-73.99123,10002,154
NY Fresh Pizza,3.5,40.7651482,-73.9881363,10019,155
Pronto Pizza 28 Street,3,40.7353,-73.99233,10003,155
Williamsburg Pizza - Brooklyn,3,40.70814416,-73.95081079,11211,155
Pizza Paradise,3.5,40.73891,-73.99298,10011,156
Solo Pizza,4,40.72241,-73.98302,10009,156
Big Daddy's Pizza,5,40.6742554,-74.007019,11231,157
Papa John's Pizza,2.5,40.7303314,-73.9829636,10009,157
Pizza Hut,2.5,40.7202588,-74.0938843,7302,157
Z Deli Pizzeria,3.5,40.7614782,-73.9868341,10019,157
99 Cent Fresh Pizza,3.5,40.753746,-73.9741516,10017,159
Mondo Piatta,3,40.73471,-73.98582,10003,159
Pizza Plus,4,40.6659099,-73.98222,11215,159
Buchetta Brick Oven Pizza,4,40.7987564,-73.9673846,10025,161
Pizza Meter,4,40.754396,-74.0483,7087,162
Tappo Thin Crust Pizza,4,40.74337,-73.99153,10010,162
AOA Bar & Grill,3,40.72068785,-74.00544055,10013,163
Champion Pizza,4,40.719742,-73.9872791,10002,163
Il Forno,3,40.73596,-73.98254,10003,163
Zeff's Pizzeria,3.5,40.70961,-73.9548499,11211,163
Famous Amadeus Pizza,3,40.74979,-73.99481,10001,165
Tre Giovani,3.5,40.7290382,-73.9983215,10012,165
Basile's Pizza & Catering,3.5,40.85123,-74.08519,7075,166
Cafe 37,3.5,40.75141,-73.9854299,10018,166
Slice Of NY Pizza,1,40.75867844,-73.98628998,10036,166
Pizza Italia,4,40.74198898,-74.00194583,10011,167
Slice Pizza Of Amsterdam,4,40.841475,-73.936144,10032,167
Little Caesars,3,40.8464088,-73.935463,10033,168
New York Fried Chicken,5,40.68310428,-73.91735304,11233,169
Eden,3,40.7175156,-73.9575011,11211,170
Lemast Deli & Pizza,2,40.72086,-73.99741,10013,171
Pizza Hut,1.5,40.7742081,-74.034547,7047,171
Sbarro,2.5,40.76061722,-73.98440926,10019,171
Broadway Pizza & Fried Chicken,5,40.68725,-73.91861,11221,172
Cafe 31 Sports Bar & Grill,3.5,40.7493139,-73.9929231,10001,172
The Catalina,4.5,40.7613615,-73.990708,10036,172
Famous Famiglia,3,40.8416979,-73.93907073,10032,173
Flaming Pizza,2,40.7752953,-74.0198669,7086,173
Gelso & Grand,4,40.71940895,-73.99737779,10013,175
Mezzogiorno,4,40.80285,-73.96798,10025,175
Beach Cafe,3,40.7672686,-73.9592185,10021,176
American Beauty,4.5,40.74938,-73.9943399,10001,177
Singas Famous Pizza,3.5,40.73605,-74.06678,7306,177
Sloppy Joe's Pizza,3,40.7149506,-74.0753937,7304,177
Papa John's Pizza,1,40.7747078,-74.031189,7087,178
Tony's Pizza On Nostrand,3.5,40.6688211,-73.95079529,11225,178
Daniello's Pizzeria,3,40.79187861,-73.96797832,10025,179
Danny's Pizza & Deli,1.5,40.83574,-74.08832,7072,179
Domino's Pizza,2,40.6840286,-74.1017227,7002,179
Abitino's Pizzeria,3,40.7547,-73.98696,10018,180
Gruppo,4.5,40.7246919,-73.9815485,10009,180
The Sicilian,3,40.6598479,-73.980485,11215,180
Pronto Pizza,4,40.6893883,-73.9923401,11201,181
2 Bros Pizza,3.5,40.75695,-73.9935,10018,183
Razza Pizza Artigianale,4,40.71774905,-74.04419244,7302,183
Roberta's,4,40.70504353,-73.93357123,11206,183
2 Bros Pizza,3.5,40.73102256,-74.00171566,10014,185
Angeloni's Restaurant & Pizzeria,3.5,40.8490899,-74.0866999,7075,185
Crown Fried Chicken & Pizza,1,40.6710281,-73.9312134,11213,185
Famous Original Ray's Pizza,3,40.74597,-74.0013,10011,186
Sutton Pizzeria,4,40.76173071,-73.96029755,10065,187
Two Boots,3.5,40.72307,-73.98415,10009,187
Hugo & Sons,3.5,40.66573,-73.98238,11215,188
Liberatos Pizza,3.5,40.70696,-74.00794,10038,188
Pizza Corner Restaurant,4.5,40.8243,-73.98896,7010,188
Underground Pizza,4,40.70499,-74.00961,10004,189
Wined Up Bar & Grill,4,40.7396698,-73.9899368,10010,190
